tic,datafqtr,atq,cshoq,niq,prccq
KEYS,2017Q3,5840,185.7,-18,41.59
KEYS,2017Q4,5933,186.021,-38,44.67
KEYS,2018Q1,6050,187.7,94,46.72
KEYS,2018Q2,5923,186.9,64,51.68
KEYS,2018Q3,5846,187.3,121,58
KEYS,2018Q4,5824,186.84,-114,57.08
KEYS,2019Q1,5978,187.751,114,74.02
KEYS,2019Q2,6190,187.823,153,87.03
KEYS,2019Q3,6348,187.5,159,89.52
KEYS,2019Q4,6623,187.311,195,100.91
KEYS,2020Q1,6841,187.849,163,92.99
KEYS,2020Q2,6757,186.602,71,96.77
KEYS,2020Q3,7161,187.131,176,99.89
KEYS,2020Q4,7218,184.929,217,104.87
KEYS,2021Q1,7494,185.985,172,141.59
KEYS,2021Q2,7686,184.44,186,144.35
KEYS,2021Q3,7804,184.189,254,164.55
KEYS,2021Q4,7781,182.154,282,180.02
KEYS,2022Q1,7728,181.972,229,168.82
KEYS,2022Q2,7764,180.128,258,140.27
KEYS,2022Q3,7852,178.776,338,162.6
KEYS,2022Q4,8098,178.033,299,174.15
KEYS,2023Q1,8448,178.135,260,179.35
KEYS,2023Q2,8708,178.151,283,144.64
KEYS,2023Q3,8826,177.572,288,161.08
KEYS,2023Q4,8683,174.322,226,122.05
KEYS,2024Q1,9060,174.547,172,153.26
KEYS,2024Q2,8988,174.6,126,147.94
ANET,2014Q2,642.778,64.386,21.618,62.39
ANET,2014Q3,691.883,64.425,21.866,88.33
ANET,2014Q4,811.023,65.528,31.037,60.76
ANET,2015Q1,875.092,66.426,24.492,70.53
ANET,2015Q2,990.839,67.302,23.996,81.74
ANET,2015Q3,1072.892,67.731,28.69,61.19
ANET,2015Q4,1159.89,68.132,43.924,77.84
ANET,2016Q1,1209.947,68.556,35.245,63.1
ANET,2016Q2,1334.988,69.195,38.904,64.38
ANET,2016Q3,1519.08,70.133,51.257,85.08
ANET,2016Q4,1729.007,70.811,58.783,96.77
ANET,2017Q1,1939.598,71.904,82.961,132.27
ANET,2017Q2,2162.94,72.45,102.685,149.79
ANET,2017Q3,2301.71,73.067,133.722,189.61
ANET,2017Q4,2460.86,73.706,103.833,235.58
ANET,2018Q1,2580.034,74.338,144.538,255.3
ANET,2018Q2,2832.114,74.791,-155.269,257.49
ANET,2018Q3,2798.238,75.393,168.524,265.86
ANET,2018Q4,3081.983,75.668,170.322,210.7
ANET,2019Q1,3332.444,76.453,201.029,314.46
ANET,2019Q2,3441.292,76.555,189.251,259.62
ANET,2019Q3,3619.825,76.368,208.895,238.92
ANET,2019Q4,4185.29,76.389,260.692,203.4
ANET,2020Q1,4111.845,75.655,138.431,202.55
ANET,2020Q2,4335.851,75.964,144.793,210.03
ANET,2020Q3,4399.372,75.632,168.375,206.93
ANET,2020Q4,4738.919,76.174,182.958,290.57
ANET,2021Q1,4893.73,76.257,180.366,301.89
ANET,2021Q2,5208.28,76.665,196.888,362.31
ANET,2021Q3,5437.35,76.886,224.305,343.64
ANET,2021Q4,5734.429,307.681,239.295,143.75
ANET,2022Q1,6108.186,308.165,272.259,138.98
ANET,2022Q2,5824.545,304.455,299.099,93.74
ANET,2022Q3,6162.01,305.515,353.999,112.89
ANET,2022Q4,6775.41,306.89,427.089,121.35
ANET,2023Q1,7543.066,308.098,436.473,167.86
ANET,2023Q2,8186.041,309.355,491.885,162.06
ANET,2023Q3,9069.035,310.972,545.327,183.93
ANET,2023Q4,9946.806,312.245,613.636,235.51
ANET,2024Q1,10550.179,313.601,637.692,289.98
CSCO,2012Q4,91759,5298,1917,15.95
CSCO,2013Q1,92643,5311,2092,17.145
CSCO,2013Q2,96378,5323,3143,20.57
CSCO,2013Q3,97084,5315,2478,20.92
CSCO,2013Q4,101191,5389,2270,25.59
CSCO,2014Q1,100741,5351,1996,22.56
CSCO,2014Q2,98427,5191,1429,21.91
CSCO,2014Q3,101856,5116,2181,23.11
CSCO,2014Q4,105134,5107,2247,25.23
CSCO,2015Q1,103978,5109,1828,24.47
CSCO,2015Q2,104922,5107,2397,26.365
CSCO,2015Q3,106212,5093,2437,28.83
CSCO,2015Q4,113481,5085,2319,28.42
CSCO,2016Q1,111773,5082,2430,28.85
CSCO,2016Q2,112642,5052,3147,23.79
CSCO,2016Q3,118654,5034,2349,27.49
CSCO,2016Q4,121652,5029,2813,30.53
CSCO,2017Q1,126287,5024,2322,30.68
CSCO,2017Q2,126248,5007,2348,30.72
CSCO,2017Q3,125950,4998,2515,34.07
CSCO,2017Q4,129818,4983,2424,31.45
CSCO,2018Q1,130522,4951,2394,34.15
CSCO,2018Q2,131510,4868,-8778,41.54
CSCO,2018Q3,114008,4734,2691,44.29
CSCO,2018Q4,108784,4614,3803,42.29
CSCO,2019Q1,105429,4517,3549,45.75
CSCO,2019Q2,102462,4424,2822,47.29
CSCO,2019Q3,97287,4313,3044,55.95
CSCO,2019Q4,97793,4250,2206,55.4
CSCO,2020Q1,92492,4241,2926,47.51
